Страна,День,Приём пищи,Блюдо,Калории (ккал),Белки (г),Жиры (г),Углеводы (г),Ключевые витамины / нутриенты,Аллергены,Время приготовления,клетчатка_г,сахара_г,натрий_мг,кальций_мг,железо_мг,калий_мг,витаминC_мг,витаминA_мкгРАЭ,витаминD_мкг
Страна,День,Приём пищи,Блюдо,Калории (ккал),Белки (г),Жиры (г),Углеводы (г),Ключевые витамины / нутриенты,,Время приготовления,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,1,Завтрак,гречневая каша с масло + варёное яйцо + ломтики огурца,300,12,10,33,"витамины группы B, железо (гречневая); витамин B12 (яйцо)",яйца,10 min,5.4,0.6,8.0,14.0,1.6,176.0,0.0,0.0,0.0
Санкт-Петербург,1,Обед,"борщ (свекла суп с говядина, veg, dollop of сметана) + ржаной хлеб + на гриле курица с морковь салат",550,35,12,60,"витамин C, K, B6 (beets/cabbage in borscht) ; витамин A (морковь)","глютен, лактоза, молоко",1 hr,6.9,11.9,1042.0,186.0,5.14,880.0,21.2,94.0,0.0
Санкт-Петербург,1,Ужин,"На гриле лосось с lemon, на пару брокколи & отварной картофель",400,27,15,20,"витамин D, B12, омега‑3 (лосось); витамин C, K (брокколи)",рыба,30 min,6.2,3.3,138.0,108.0,2.2,1516.0,103.2,91.0,19.5
Санкт-Петербург,2,Завтрак,"овсяная каша (rolled oats) с молоко, банан & орехи",380,12,8,60,"B1, B2 (oats); калий, B6 (банан); витамин E (орехи)","лактоза, молоко, орехи",5 min,7.6,22.4,90.0,267.0,2.46,860.0,8.9,156.0,0.2
Санкт-Петербург,2,Обед,Rassolnik (pickle-barley суп с говядина) + ржаной хлеб; гречневая каша с грибы and лукs (as main),520,15,10,70,"витамин B3, железо (гречневая); витамин K (dill pickles)",глютен,1 hr,7.0,3.2,343.0,108.0,5.32,503.0,0.0,0.0,0.0
Санкт-Петербург,2,Ужин,"голубцы (говядина, рис in cabbage leaves) с сметана + свежий помидор-огурец салат",300,19,13,24,"витамин C, K (cabbage, салат); ликопин (помидор)","лактоза, молоко",1.5 hr,0.6,0.7,49.0,44.0,1.88,270.0,0.2,24.0,0.0
Санкт-Петербург,3,Завтрак,сырники (творожники) с сметана & ягоды,250,15,10,20,"кальций, B12 (творог); витамин C (ягоды)","лактоза, молоко",20 min,0.0,0.6,7.0,22.0,0.02,28.0,0.2,24.0,0.0
Санкт-Петербург,3,Обед,Vegetable суп (light бульон суп) + бефстроганов (говядина in гриб sauce) с mashed картофель,630,30,28,56,"B12, цинк (говядина); витамин B2, D (грибы); витамин C, B6 (картофель)",,1 hr,3.6,1.6,55.0,31.0,2.16,845.0,14.0,0.0,0.0
Санкт-Петербург,3,Ужин,"Запеченный треска с бурый рис, на пару брокколи & морковь",380,34,5,50,"селен, B12 (cod); витамин C, K (брокколи); витамин A (морковь)",рыба,30 min,3.2,1.9,34.0,62.0,1.0,368.0,89.2,31.0,0.0
Санкт-Петербург,4,Завтрак,"сыр омлет (2 яйца, сыр) с помидор, укроп + rye тост",350,21,24,5,"витамин A, D (яйцо yolk); кальций (сыр); витамин C (помидор)","лактоза, молоко, яйца",10 min,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,4,Обед,Split pea суп с smoked индейка + ржаной хлеб; Vinegret (свекла-картофель-морковь салат с горох),470,15,8,50,"витамин K, фолат (горох); витамин A (морковь); витамин C (beets)",глютен,1 hr,5.2,4.2,308.0,110.0,2.76,794.0,14.0,0.0,0.0
Санкт-Петербург,4,Ужин,"Pelmeni (meat пельмени) с масло & сметана, side of sauerkraut",390,19,15,46,"витамины группы B (flour); железо, B12 (meat); витамин C, K (sauerkraut)","лактоза, молоко",15 min,0.0,0.6,7.0,22.0,0.02,28.0,0.2,24.0,0.0
Санкт-Петербург,5,Завтрак,"Ham & сыр open-face sandwich (whole-grain хлеб, ham, сыр, помидор) + glass of кефир",380,20,15,25,"кальций, B2 (сыр); витамин K (dark хлеб); пробиотики (kefir)","глютен, лактоза, молоко",5 min,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,5,Обед,"Solyanka (hearty sour суп с mixed meats, оливки) + ржаной хлеб; Dessert: one яблоко",450,15,20,40,"Sodium, железо (meats in суп); витамин C, клетчатка (яблоко)",глютен,1 hr,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,5,Ужин,(Restaurant) Georgian cuisine – Khachapuri (сыр-filled хлеб) & баранина shashlik (на гриле skewers) с овощи на гриле,~750,40,40,40,"витамины группы B, железо (баранина); кальций (сыр); витамин A, C (на гриле veg)","глютен, лактоза, молоко",0 мин (ресторан),1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,6,Завтрак,"Tvorog (farmers сыр) с мёд, грецкие орехи & ягоды",330,23,15,25,"кальций, B12 (tvorog); витамин C (ягоды); омега‑3 (грецкий орехs)","лактоза, молоко, орехи",5 min,1.0,0.4,0.0,15.0,0.43,66.0,0.2,0.0,0.0
Санкт-Петербург,6,Обед,На гриле форель с гречневая каша and помидор-огурец салат,530,30,15,35,"омега‑3, витамин D (trout); витамин C, K (салат vяйцоies)",,30 min,5.4,0.6,8.0,14.0,1.6,176.0,0.0,0.0,0.0
Санкт-Петербург,6,Ужин,Roast курица (thigh) с roasted картофель and смесь зелени салат,500,25,20,20,"B3, B6 (курица); витамин C, A (leafy greens); калий (картофель)",,1 hr,3.6,1.6,14.0,24.0,0.6,656.0,14.0,0.0,0.0
Санкт-Петербург,7,Завтрак,блины (блины) stuffed с творог & варенье,290,10,8,45,кальций (сыр); витамин B2 (yeast in dough); витамин C (jam fruit),"лактоза, молоко",30 min,0.0,4.5,546.0,124.0,0.15,156.0,0.0,38.0,0.0
Санкт-Петербург,7,Обед,Shchi (cabbage суп) + говядина kotleti (meat котлеты) с отварной barley & гриб gravy,600,45,20,37,"витамин C, K (cabbage); железо, B12 (говядина); селен (грибы)",,1 hr,0.0,0.0,41.0,7.0,1.56,189.0,0.0,0.0,0.0
Санкт-Петербург,7,Ужин,"гречка блины (savory блины) с red caviar & сметана, served с green салат",340,10,15,30,"омега‑3, D (caviar); витамин K (leafy greens)","лактоза, молоко",45 min,5.4,1.2,15.0,36.0,1.62,204.0,0.2,24.0,0.0
Санкт-Петербург,8,Завтрак,Millet каша (с молоко and тыква) + варёное яйцо,320,10,8,50,"витамин A (тыква); B-витамины (millet); витамин D, B12 (яйцо)","лактоза, молоко, яйца",15 min,0.0,9.6,88.0,226.0,0.0,264.0,0.0,92.0,0.2
Санкт-Петербург,8,Обед,курица noodle суп (light бульон) + на пару индейка котлетаs (2) с гречка and гриб sauce,550,30,10,48,"ниацин, B6 (turkey); магний (гречневая); витамин D (грибы)",,1 hr,5.4,0.6,8.0,14.0,1.6,176.0,0.0,0.0,0.0
Санкт-Петербург,8,Ужин,"рыба stew (треска braised с помидор, морковь, болгарский перец) over рис",400,30,5,60,"витамин C, A (bell перец, морковь); ликопин (помидор); селен (cod)",рыба,45 min,0.6,0.2,2.0,15.0,0.3,52.0,0.0,0.0,0.0
Санкт-Петербург,9,Завтрак,овсяная каша с raisins and grated яблоко (молоко-based),360,10,6,65,клетчатка (oats/raisin); витамин C (яблоко); железо (raisins),"лактоза, молоко",5 min,4.0,10.0,89.0,248.0,1.72,436.0,0.0,92.0,0.2
Санкт-Петербург,9,Обед,"баранина плов (Uzbek-style рис плов с баранина & морковь) + свежий herb салат (огурец, кинза)",530,20,20,50,"витамин A (морковь); железо, B12 (баранина); витамин K (травы)",,2 hrs,0.6,0.2,2.0,15.0,0.3,52.0,0.0,0.0,0.0
Санкт-Петербург,9,Ужин,"сельдь & картофель – отварной картофель tossed in масло, served с маринованный сельдь fillet & маринованный огурец",480,17,18,52,"омега‑3, D, B12 (herring); витамин K, C (pickles); калий (картофель)",рыба,30 min,3.6,1.6,14.0,24.0,0.6,656.0,14.0,0.0,0.0
Санкт-Петербург,10,Завтрак,"сырники с raisins inside, drizzled с мёд",270,15,10,30,"кальций, фосфор (сыр); витамин B2, B12 (сыр); антиоксиданты (мёд)","лактоза, молоко",20 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,10,Обед,Ukha (clear рыба суп) + гуляш из говядины (braised говядина) с гречневая каша,575,25,15,58,"витамин B12, D (рыба суп); железо, B6 (говядина); Rutin (гречневая)",рыба,1 hr,5.4,0.6,49.0,21.0,3.16,365.0,0.0,0.0,0.0
Санкт-Петербург,10,Ужин,спагетти & meatballs (ground говядина/свинина meatballs in помидор sauce),550,25,20,70,"ликопин (помидор sauce); железо, цинк (говядина); B1 (паста)",,45 min,0.0,0.0,41.0,7.0,1.56,189.0,0.0,0.0,0.0
Санкт-Петербург,11,Завтрак,"греческий йогурт с homemade гранола, миндаль & ягоды",400,12,10,50,"пробиотики, кальций (йогурт); витамин E, магний (миндальs); витамин C (ягоды)","лактоза, молоко, орехи",0 min (assemble),5.4,7.7,62.0,196.0,1.75,408.0,0.0,21.0,0.0
Санкт-Петербург,11,Обед,говядина liver sautéed с лукs + mashed картофель + cabbage-морковь coleslaw,430,28,10,40,"витамин A, B12, железо (liver) ; витамин K, C (cabbage)",,45 min,3.6,1.6,55.0,31.0,2.16,845.0,14.0,0.0,0.0
Санкт-Петербург,11,Ужин,"Stuffed перцы (болгарский перецs filled с говядина, рис in помидор sauce) + dollop of сметана",330,20,15,25,"витамин C, A (bell перец); ликопин (помидор); B12, железо (говядина)","лактоза, молоко",1 hr,0.6,0.7,49.0,44.0,1.88,270.0,0.2,24.0,0.0
Санкт-Петербург,12,Завтрак,варёное яйцоs (2) с rye тост & масло + ломтики огурца,270,13,15,12,"витамин D, B12 (яйца); витамин E (масло); витамин K (огурец)",яйца,10 min,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,12,Обед,"Olivier салат (картофель, морковь, pea, яйцо, курица, pickles, light mayo) + ржаной хлеб + Dessert: orange",430,10,22,35,"витамин C (orange, горох); витамин B9 (горох); витамин A (морковь)","глютен, яйца",30 min,5.2,4.2,308.0,110.0,2.76,794.0,14.0,0.0,0.0
Санкт-Петербург,12,Ужин,(Restaurant) На гриле говядина sчайk (ribeye) с roasted vegetables & side салат,~700,50,45,20,"B12, железо, цинк (говядина); витамин A, C, fiber (mixed vegetables)",,0 мин (ресторан),0.0,0.0,41.0,7.0,1.56,189.0,0.0,0.0,0.0
Санкт-Петербург,13,Завтрак,яичница-болтунья с болгарский перецs & травы + rye тост,260,13,12,15,"витамин A (перец); Choline, D (яйца); Manganese (rye grain)",,10 min,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,13,Обед,гриб barley суп + braised свинина с гречневая каша and лукs,550,25,20,50,"селен, B3 (грибы); Thiamine, ниацин (свинина); клетчатка (barley)",,1 hr,5.4,0.6,8.0,14.0,1.6,176.0,0.0,0.0,0.0
Санкт-Петербург,13,Ужин,"На гриле скумбрия с roasted корнеплоды (морковь, пастернак) and киноа",600,35,25,40,"омега‑3, D, B12 (скумбрия); витамин A (морковь); фолат, магний (quinoa)",рыба,40 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,14,Завтрак,"рис каша (с молоко, pinch of cinnamon) topped с dried курага",320,8,5,65,"кальций, B2 (молоко); витамин A (apricot – beta-carotene); B3 (рис)","лактоза, молоко",15 min,0.6,9.8,90.0,241.0,0.3,316.0,0.0,92.0,0.2
Санкт-Петербург,14,Обед,курица котлета (хлебed pan-жареный patty) с mashed картофель and помидор-огурец салат,380,15,10,40,"витамин K, C (салат); B6, ниацин (курица); калий (картофель)",глютен,45 min,5.2,4.2,308.0,110.0,2.76,794.0,14.0,0.0,0.0
Санкт-Петербург,14,Ужин,"гречка-гриб casserole (запеченный гречка с грибы, яйцо, сыр) + чеснок sautéed шпинат",300,12,15,30,"витамин B5, B7 (грибы); витамин K, A (шпинат); кальций (сыр)","лактоза, молоко, яйца",1 hr,5.4,0.6,8.0,14.0,1.6,176.0,0.0,0.0,0.0
Санкт-Петербург,15,Завтрак,гречневая каша с масло + жареное яйцо + cherry помидоры,310,11,11,34,"витамины группы B (гречневая); витамин D, B12 (яйцо); витамин C (помидор)",яйца,10 min,5.4,0.6,8.0,14.0,1.6,176.0,0.0,0.0,0.0
Санкт-Петербург,15,Обед,"борщ суп + сметана, ржаной хлеб; жареный треска с гречневая каша & овощи на пару",560,30,15,60,"витамин C, B9 (beet, cabbage); омега‑3, D (cod); витамин K (greens)","глютен, лактоза, молоко, рыба",1 hr,12.3,12.5,1009.0,192.0,5.18,867.0,21.2,94.0,0.0
Санкт-Петербург,15,Ужин,"Vegetable stew (кабачок, баклажан, помидор) с запеченный индейка breast",300,28,8,20,"витамин A, C (mixed veg); B3, B6 (turkey); ликопин (помидор)",,1 hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,16,Завтрак,овсяная каша с банан & грецкие орехи (молоко),370,11,7,58,"B6, K (банан); омега‑3 (грецкий орехs); кальций, B2 (молоко)","лактоза, молоко, орехи",5 min,7.6,22.4,90.0,267.0,2.46,860.0,8.9,156.0,0.2
Санкт-Петербург,16,Обед,Rassolnik суп + ржаной хлеб; бефстроганов с гречка and грибы,540,26,24,45,"витамин B12, железо (говядина); витамин D (mushroom); витамин B1 (гречневая)",глютен,1 hr,7.0,3.2,302.0,100.0,3.76,314.0,0.0,0.0,0.0
Санкт-Петербург,16,Ужин,голубцы с сметана + помидор-огурец салат,300,18,12,25,"витамин C, K (cabbage & салат); фолат (cabbage)","лактоза, молоко",1.5 hr,0.0,0.6,7.0,22.0,0.02,28.0,0.2,24.0,0.0
Санкт-Петербург,17,Завтрак,блины (блины) с масло and мёд,250,6,8,40,B-витамины (flour); антиоксиданты (мёд),,30 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,17,Обед,Solyanka суп + ржаной хлеб; Dessert: груша,350,10,18,35,"Sodium (оливки in суп); витамин C, K (sauerkraut in суп); витамин C, fiber (груша)",глютен,1 hr,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,17,Ужин,свинина chop (pan-жареный) с гречневая каша & sauerkraut,500,30,22,35,"B1, B12, цинк (свинина); витамин C, K (sauerkraut); Rutin (гречневая)",,45 min,5.4,0.6,8.0,14.0,1.6,176.0,0.0,0.0,0.0
Санкт-Петербург,18,Завтрак,Маслоed тост с варенье + варёное яйцо,240,7,6,35,"витамин B1 (хлеб); витамин C (jam fruit); витамин D, B7 (яйцо)",яйца,5 min,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,18,Обед,"Lentil суп (red чечевица, veg) с smoked sausage + vinegret салат",480,22,15,55,"фолат, железо (чечевица); витамин C, K (beet, cabbage); B1, B3 (sausage)",,1 hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,18,Ужин,"Pelmeni (пельмени) с масло & сметана, side of sauerkraut",390,19,15,46,"витамины группы B (flour); железо (meat); витамин K, C (sauerkraut)","лактоза, молоко",15 min,0.0,0.6,7.0,22.0,0.02,28.0,0.2,24.0,0.0
Санкт-Петербург,19,Завтрак,"Ham & сыр open-face sandwich (whole-grain хлеб, ham, сыр, помидор) + glass of кефир",380,20,15,25,"кальций, B2 (сыр); витамин K (dark хлеб); пробиотики (kefir)","глютен, лактоза, молоко",5 min,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,19,Обед,"(Restaurant) суши platter (assorted rolls & сашими, soy sauce, имбирь)",~600,30,15,80,"омега‑3, D (лосось/tuna); йод (морская капуста); витамин B1 (white рис)",,0 мин (ресторан),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,19,Ужин,"Vegetable омлет (2 яйца, шпинат, помидор, перцы)",250,18,15,8,"витамин A, K (шпинат); Choline, D (яйца); C (bell перец)",яйца,15 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,20,Завтрак,"Tvorog (farmers сыр) с мёд, грецкие орехи & ягоды",330,23,15,25,"кальций, B12 (tvorog); витамин C (ягоды); омега‑3 (грецкий орехs)","лактоза, молоко, орехи",5 min,1.0,0.4,0.0,15.0,0.43,66.0,0.2,0.0,0.0
Санкт-Петербург,20,Обед,Shchi (cabbage суп) + meatballs (говядина) in помидор sauce с рис & морковь,500,25,15,55,"витамин C, K (cabbage); B12, железо (говядина); бета‑каротин (морковь)",,1 hr,0.6,0.2,42.0,22.0,1.86,242.0,0.0,0.0,0.0
Санкт-Петербург,20,Ужин,"Запеченный курица thighs с чеснок, roasted картофель, and green салат",500,30,20,30,"B6, ниацин (курица); витамин C, A (салат greens); калий (картофель)",,1 hr,3.6,1.6,14.0,24.0,0.6,656.0,14.0,0.0,0.0
Санкт-Петербург,21,Завтрак,сырники (творожники) с сметана & ягоды,250,15,10,20,"кальций, B12 (творог); витамин C (ягоды)","лактоза, молоко",20 min,0.0,0.6,7.0,22.0,0.02,28.0,0.2,24.0,0.0
Санкт-Петербург,21,Обед,"курица шаурма (homemade wrap с на гриле курица, помидор, огурец, тахини in пита)",550,32,20,50,"B3, B6 (курица); витамин C (салат veg); витамин E, кальций (tahini)",кунжут,45 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,21,Ужин,"Macaroni po-flotski (""Navy-style"" sautéed ground говядина and лукs mixed с паста)",600,25,20,70,"B12, железо (говядина); B1, B9 (enriched паста); Quercetin (лук)",,30 min,0.0,0.0,41.0,7.0,1.56,189.0,0.0,0.0,0.0
Санкт-Петербург,22,Завтрак,Millet каша (с молоко and тыква) + варёное яйцо,320,10,8,50,"витамин A (тыква); B-витамины (millet); витамин D, B12 (яйцо)","лактоза, молоко, яйца",15 min,0.0,9.6,88.0,226.0,0.0,264.0,0.0,92.0,0.2
Санкт-Петербург,22,Обед,"борщ суп + сметана, ржаной хлеб; жареный треска с гречневая каша & овощи на пару",560,30,15,60,"витамин C, B9 (beet, cabbage); омега‑3, D (cod); витамин K (greens)","глютен, лактоза, молоко, рыба",1 hr,12.3,12.5,1009.0,192.0,5.18,867.0,21.2,94.0,0.0
Санкт-Петербург,22,Ужин,"Vegetable stew (кабачок, баклажан, помидор) с запеченный индейка breast",300,28,8,20,"витамин A, C (mixed veg); B3, B6 (turkey); ликопин (помидор)",,1 hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,23,Завтрак,овсяная каша с банан & грецкие орехи (молоко),370,11,7,58,"B6, K (банан); омега‑3 (грецкий орехs); кальций, B2 (молоко)","лактоза, молоко, орехи",5 min,7.6,22.4,90.0,267.0,2.46,860.0,8.9,156.0,0.2
Санкт-Петербург,23,Обед,Rassolnik суп + ржаной хлеб; бефстроганов с гречка and грибы,540,26,24,45,"витамин B12, железо (говядина); витамин D (mushroom); витамин B1 (гречневая)",глютен,1 hr,7.0,3.2,302.0,100.0,3.76,314.0,0.0,0.0,0.0
Санкт-Петербург,23,Ужин,голубцы с сметана + помидор-огурец салат,300,18,12,25,"витамин C, K (cabbage & салат); фолат (cabbage)","лактоза, молоко",1.5 hr,0.0,0.6,7.0,22.0,0.02,28.0,0.2,24.0,0.0
Санкт-Петербург,24,Завтрак,блины (блины) с масло and мёд,250,6,8,40,B-витамины (flour); антиоксиданты (мёд),,30 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,24,Обед,Solyanka суп + ржаной хлеб; Dessert: груша,350,10,18,35,"Sodium (оливки in суп); витамин C, K (sauerkraut in суп); витамин C, fiber (груша)",глютен,1 hr,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,24,Ужин,свинина chop (pan-жареный) с гречневая каша & sauerkraut,500,30,22,35,"B1, B12, цинк (свинина); витамин C, K (sauerkraut); Rutin (гречневая)",,45 min,5.4,0.6,8.0,14.0,1.6,176.0,0.0,0.0,0.0
Санкт-Петербург,25,Завтрак,Маслоed тост с варенье + варёное яйцо,240,7,6,35,"витамин B1 (хлеб); витамин C (jam fruit); витамин D, B7 (яйцо)",яйца,5 min,1.6,2.6,294.0,86.0,2.16,138.0,0.0,0.0,0.0
Санкт-Петербург,25,Обед,"Lentil суп (red чечевица, veg) с smoked sausage + vinegret салат",480,22,15,55,"фолат, железо (чечевица); витамин C, K (beet, cabbage); B1, B3 (sausage)",,1 hr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,25,Ужин,"Pelmeni (пельмени) с масло & сметана, side of sauerkraut",390,19,15,46,"витамины группы B (flour); железо (meat); витамин K, C (sauerkraut)","лактоза, молоко",15 min,0.0,0.6,7.0,22.0,0.02,28.0,0.2,24.0,0.0
Санкт-Петербург,26,Завтрак,Ham & сыр sandwich + кефир,380,20,15,25,"кальций, B12 (сыр); Белок (ham); пробиотики (kefir)","лактоза, молоко",5 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,26,Обед,(Restaurant) Georgian khinkali (meat пельмени) and lobio (kidney bean stew) с matsoni йогурт,~700,25,30,80,"B12, железо (говядина dumplings); клетчатка, B9 (фасоль); пробиотики (йогурт)","лактоза, молоко",0 мин (ресторан),0.0,7.1,54.0,182.0,0.15,232.0,0.0,21.0,0.0
Санкт-Петербург,26,Ужин,"Herbed творог spread on rye crackers, помидор салат on side (light dinner)",250,15,10,20,"кальций, селен (творог); Вит C (помидор)","лактоза, молоко",5 min,0.0,4.5,546.0,124.0,0.15,156.0,0.0,38.0,0.0
Санкт-Петербург,27,Завтрак,"Tvorog (farmers сыр) с мёд, грецкие орехи & ягоды",330,23,15,25,"кальций, B12 (tvorog); витамин C (ягоды); омега‑3 (грецкий орехs)","лактоза, молоко, орехи",5 min,1.0,0.4,0.0,15.0,0.43,66.0,0.2,0.0,0.0
Санкт-Петербург,27,Обед,Shchi (cabbage суп) + meatballs (говядина) in помидор sauce с рис & морковь,500,25,15,55,"витамин C, K (cabbage); B12, железо (говядина); бета‑каротин (морковь)",,1 hr,0.6,0.2,42.0,22.0,1.86,242.0,0.0,0.0,0.0
Санкт-Петербург,27,Ужин,"Запеченный курица thighs с чеснок, roasted картофель, and green салат",500,30,20,30,"B6, ниацин (курица); витамин C, A (салат greens); калий (картофель)",,1 hr,3.6,1.6,14.0,24.0,0.6,656.0,14.0,0.0,0.0
Санкт-Петербург,28,Завтрак,сырники с berry sauce & сметана,260,15,10,30,"кальций, селен (сыр); витамин C (ягоды)","лактоза, молоко",20 min,0.0,0.6,7.0,22.0,0.02,28.0,0.2,24.0,0.0
Санкт-Петербург,28,Обед,"курица шаурма (homemade wrap с на гриле курица, помидор, огурец, тахини in пита)",550,32,20,50,"B3, B6 (курица); витамин C (салат veg); витамин E, кальций (tahini)",кунжут,45 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Санкт-Петербург,28,Ужин,"Macaroni po-flotski (""Navy-style"" sautéed ground говядина and лукs mixed с паста)",600,25,20,70,"B12, железо (говядина); B1, B9 (enriched паста); Quercetin (лук)",,30 min,0.0,0.0,41.0,7.0,1.56,189.0,0.0,0.0,0.0
Санкт-Петербург,29,Завтрак,гречневая каша с масло + варёное яйцо + ломтики огурца,300,12,10,33,"витамины группы B, железо (гречневая); витамин B12 (яйцо)",яйца,10 min,5.4,0.6,8.0,14.0,1.6,176.0,0.0,0.0,0.0
Санкт-Петербург,29,Обед,борщ + курица & салат (similar to Day 1),550,35,12,60,"Вит C, K (beet, cabbage); B6 (морковь)",,1 hr,5.2,8.8,700.0,70.0,1.4,525.0,21.0,70.0,0.0
Санкт-Петербург,29,Ужин,"На гриле лосось с lemon, на пару брокколи & отварной картофель",400,27,15,20,"витамин D, B12, омега‑3 (лосось); витамин C, K (брокколи)",рыба,30 min,6.2,3.3,138.0,108.0,2.2,1516.0,103.2,91.0,19.5
Санкт-Петербург,30,Завтрак,"овсяная каша (rolled oats) с молоко, банан & орехи",380,12,8,60,"B1, B2 (oats); калий, B6 (банан); витамин E (орехи)","лактоза, молоко, орехи",5 min,7.6,22.4,90.0,267.0,2.46,860.0,8.9,156.0,0.2
Санкт-Петербург,30,Обед,Vegetable суп (light бульон суп) + бефстроганов (говядина in гриб sauce) с mashed картофель,630,30,28,56,"B12, цинк (говядина); витамин B2, D (грибы); витамин C, B6 (картофель)",,1 hr,3.6,1.6,55.0,31.0,2.16,845.0,14.0,0.0,0.0
Санкт-Петербург,30,Ужин,"(Restaurant) Celebration dinner – Venison medallions с гриб sauce, wild рис & овощи на гриле",~650,40,25,45,"B12, железо (venison); D (грибы); клетчатка (wild рис)",,0 мин (ресторан),0.6,0.2,2.0,15.0,0.3,52.0,0.0,0.0,0.0
